meal_id,category,calories_kcal,protein_g,carb_g,fat_g,goal_suitability,diet_type,prep_time,price_range,meal_time_breakfast,meal_time_lunch,meal_time_dinner,meal_time_snack,region_General,region_Hausa/North,region_South-South,region_Southeast/Igbo,region_Yoruba/Southwest,taste_profile_bitter-savory,taste_profile_mild,taste_profile_mild-savory,taste_profile_mild-sweet,taste_profile_savory,taste_profile_savory-mild,taste_profile_savory-smoky,taste_profile_savory-sour,taste_profile_savory-spicy,taste_profile_savory-sweet,taste_profile_smoky-spicy,taste_profile_sour-savory,taste_profile_sour-sweet,taste_profile_spicy,taste_profile_spicy-savory,taste_profile_spicy-smoky,taste_profile_spicy-sweet,taste_profile_sweet,taste_profile_sweet-savory,taste_profile_sweet-sour,taste_profile_sweet-spicy,macro_ratio_protein,macro_ratio_carb,macro_ratio_fat,calorie_density,protein_per_100kcal
44,2,0.578313,0.619048,0.561404,0.5,1,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341613,0.466433,0.474505,1,0.340176
45,2,0.819277,0.809524,0.614035,0.9,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327214,0.366763,0.62574,2,0.327713
46,2,0.518072,0.571429,0.578947,0.4,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337473,0.517298,0.406182,1,0.345308
47,2,0.578313,0.619048,0.578947,0.5,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336753,0.474053,0.467572,1,0.340176
48,2,0.60241,0.666667,0.578947,0.55,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346292,0.451606,0.491405,1,0.354106
49,2,0.73494,0.714286,0.596491,0.75,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322354,0.400638,0.582118,2,0.318915
50,2,0.554217,0.619048,0.578947,0.5,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336753,0.474053,0.467572,1,0.352639
51,2,0.638554,0.714286,0.578947,0.65,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345032,0.417731,0.539939,2,0.360704
52,2,0.53012,0.571429,0.578947,0.45,1,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325954,0.498764,0.441572,1,0.33871
53,2,0.650602,0.714286,0.578947,0.6,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355292,0.431013,0.513217,2,0.354839
54,2,0.891566,1.0,0.614035,0.9,2,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387689,0.350494,0.600029,2,0.375367
55,2,0.493976,0.571429,0.561404,0.35,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355472,0.529654,0.374549,1,0.359238
56,2,0.578313,0.619048,0.578947,0.5,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336753,0.474053,0.467572,1,0.340176
57,2,0.518072,0.571429,0.578947,0.4,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337473,0.517298,0.406182,1,0.345308
58,2,0.493976,0.52381,0.561404,0.4,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319294,0.518431,0.419327,1,0.329179
59,2,0.807229,0.761905,0.684211,0.85,2,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305616,0.407331,0.586162,2,0.31305
60,2,0.457831,0.47619,0.578947,0.3,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312995,0.57918,0.339159,1,0.318915
61,2,0.53012,0.52381,0.596491,0.4,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309395,0.533464,0.406182,1,0.310117
62,2,0.53012,0.666667,0.508772,0.45,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392189,0.451091,0.455294,1,0.394428
63,2,0.722892,0.809524,0.54386,0.75,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36969,0.368513,0.589195,2,0.366569
64,2,0.46988,0.571429,0.508772,0.4,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359971,0.485173,0.433338,1,0.374633
65,2,0.493976,0.619048,0.508772,0.45,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36987,0.458711,0.462516,1,0.389296
66,2,0.518072,0.619048,0.526316,0.45,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364111,0.467154,0.455294,1,0.3739
67,2,0.445783,0.214286,0.666667,0.3,1,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.142009,0.674835,0.342048,1,0.146628
68,2,0.650602,0.761905,0.666667,0.5,2,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37167,0.488468,0.419327,2,0.378299
69,2,0.60241,0.666667,0.666667,0.4,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.354932,0.535935,0.366171,1,0.354106
70,2,0.698795,0.809524,0.666667,0.55,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37887,0.467669,0.442727,2,0.377566
71,2,0.650602,0.666667,0.77193,0.45,1,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318035,0.554984,0.36906,2,0.331378
72,2,0.578313,0.285714,0.736842,0.45,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155868,0.609658,0.42236,1,0.156891
73,2,0.746988,0.904762,0.666667,0.65,2,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392009,0.430601,0.484183,2,0.398094
74,2,0.686747,0.809524,0.614035,0.6,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382469,0.43369,0.487505,2,0.383431
75,2,0.722892,0.904762,0.614035,0.6,2,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417027,0.422364,0.475661,2,0.409824
76,2,0.710843,0.952381,0.614035,0.55,2,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445824,0.429366,0.442727,2,0.437683
77,2,0.746988,0.380952,0.947368,0.55,1,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.164147,0.615733,0.407482,2,0.167889
78,2,0.481928,0.333333,0.631579,0.4,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203204,0.584843,0.419327,1,0.214076
79,2,0.578313,0.571429,0.684211,0.4,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308495,0.55869,0.371371,1,0.314516
80,2,0.891566,0.761905,0.754386,0.85,2,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293017,0.431425,0.562328,2,0.285924
81,2,0.650602,0.619048,0.701754,0.5,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305796,0.522138,0.424816,2,0.307185
82,2,0.722892,0.666667,0.701754,0.6,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307235,0.485173,0.475661,2,0.302053
83,2,0.626506,0.571429,0.719298,0.45,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290857,0.552821,0.393904,1,0.293255
84,2,0.614458,0.619048,0.701754,0.4,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325054,0.556631,0.361115,1,0.323314
85,2,0.542169,0.619048,0.666667,0.3,0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.357271,0.583402,0.297703,1,0.359971
86,2,0.481928,0.47619,0.719298,0.25,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284557,0.654036,0.25697,1,0.305718
87,2,0.650602,0.428571,0.964912,0.3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.206263,0.704901,0.248447,2,0.21261
88,2,0.60241,0.619048,0.736842,0.35,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326134,0.587418,0.317059,1,0.328446
89,2,0.53012,0.52381,0.736842,0.3,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293377,0.626236,0.288892,1,0.310117
90,2,0.722892,0.619048,0.719298,0.65,1,5,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277718,0.483629,0.501517,2,0.280059
91,2,0.771084,0.714286,0.701754,0.7,1,5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.308495,0.452842,0.520006,2,0.305718
92,2,0.722892,0.52381,0.736842,0.6,1,4,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24442,0.516989,0.481439,2,0.237537
93,0,0.53012,0.52381,0.578947,0.45,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303456,0.506899,0.448216,1,0.310117
94,0,0.650602,0.714286,0.578947,0.6,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355292,0.431013,0.513217,2,0.354839
95,0,0.481928,0.428571,0.614035,0.35,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266559,0.580519,0.374549,1,0.274927
96,0,0.361446,0.095238,0.614035,0.25,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073074,0.723023,0.329915,1,0.076979
97,0,0.578313,0.428571,0.631579,0.55,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228942,0.508855,0.505272,1,0.235337
98,0,0.674699,0.571429,0.666667,0.65,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269078,0.470758,0.526506,2,0.274927
99,2,0.493976,0.333333,0.666667,0.35,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204104,0.620675,0.368482,1,0.209677
100,2,0.421687,0.333333,0.614035,0.3,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223002,0.626442,0.345082,1,0.239003
101,1,0.481928,0.142857,0.649123,0.45,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.088193,0.609143,0.477539,1,0.091642
102,0,0.578313,0.47619,0.631579,0.55,1,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2509,0.501339,0.498194,1,0.26173
103,2,0.457831,0.428571,0.684211,0.3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259179,0.629325,0.312003,1,0.286657
104,0,0.53012,0.380952,0.631579,0.5,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.213283,0.534699,0.481439,1,0.225806
105,2,0.722892,0.333333,1.0,0.45,1,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.147768,0.670923,0.343059,2,0.151026
106,2,0.60241,0.47619,0.842105,0.35,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.240821,0.645284,0.304348,1,0.252933
107,2,0.409639,0.285714,0.631579,0.3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191145,0.644666,0.345082,1,0.209677
108,2,0.361446,0.285714,0.578947,0.25,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210763,0.653418,0.317059,1,0.231672
109,1,0.445783,0.666667,0.508772,0.35,2,3,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.421706,0.487335,0.38076,1,0.456012
110,1,0.481928,0.714286,0.508772,0.4,2,3,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.428546,0.460667,0.412682,1,0.458211
111,1,0.240964,0.047619,0.438596,0.25,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.046976,0.670202,0.424816,0,0.052053
112,2,0.385542,0.52381,0.508772,0.3,0,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363211,0.537171,0.357793,1,0.403226
113,0,0.481928,0.47619,0.631579,0.3,1,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297516,0.600082,0.322259,1,0.305718
114,0,0.506024,0.47619,0.649123,0.35,1,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.282397,0.584123,0.356926,1,0.293255
115,2,0.578313,0.47619,0.824561,0.35,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24406,0.640445,0.308537,1,0.26173
